,index,year,month,day,publishedAt,headline,summary,source,API
0,0,2025,1,11,2025-01-11 09:05:00,A Dozen Stocks I'm Buying As Rising Interest Rates Break The Market,"Financial writer discusses the impact of interest rates on S&P 500 and REITs, Baby Boomers' economic influence, and dividend growth stock choices.",SeekingAlpha,finnhub_news
1,35,2025,1,11,2025-01-11 00:00:00,Tesla fait rouler ses Superchargers mobiles,"Attendre pour recharger sa Tesla pendant les vacances ? Une galère que l’entreprise veut réduire grâce à des stations mobiles. Avec ses MegapackChargers, le constructeur automobile propose une solution inédite pour gérer les embouteillages électriques pendant…",Journal du geek,api_news_org
2,82,2025,1,11,2025-01-11 00:00:00,Renault 5 E-tech vs Tesla Model Y : 24h pour changer d’avis,"Un design qui cligne de l'œil, une production 100 % française et une note parfaite de 10/10 dans nos précédents essais : la Renault 5 E-tech électrique intrigue. Mais que vaut-elle vraiment face à l'expertise de Tesla ? J'ai troqué ma Model Y pour le découvri…",Frandroid,api_news_org
3,75,2025,1,11,2025-01-11 00:00:00,"Nouvelle Tesla Model Y, Samsung Galaxy S25 Ultra et nouveaux Redmi Note 14 Pro – Tech’spresso","Vous n’avez pas eu le temps de suivre l’actualité hier ? Voici ce qui a marqué le vendredi 10 janvier : de nouvelles fuites sur les Samsung Galaxy S25 Ultra, la nouvelle Tesla Model Y et l'arrivée des Redmi Note 14 Pro. Pour ne manquer aucune actualité, pense…",Frandroid,api_news_org
4,56,2025,1,11,2025-01-11 00:00:00,"Tesla: ""Ich will Herrn Musk ja nicht heiraten""","Elon Musk galt als Visionär und Innovator, heute wirbt er für Trump und die AfD. Wir haben Tesla-Fahrerinnen gefragt: Schämen Sie sich mittlerweile für Ihr Auto?",Die Zeit,api_news_org
5,81,2025,1,11,2025-01-11 00:00:00,"Comment Tesla va gagner 1 milliard d’euros en aidant Stellantis, Toyota et Volvo","Alors que Tesla connaît un ralentissement de ses ventes pour la première fois de son histoire, l'entreprise d'Elon Musk s'apprête paradoxalement à générer un milliard d'euros de revenus grâce à ses rivaux européens.",Frandroid,api_news_org
6,1,2025,1,10,2025-01-10 16:53:17,"HPE secures $1 billion AI server deal for Elon Musk's X, Bloomberg News reports","Hewlett Packard Enterprise has struck a deal worth over $1 billion to provide Elon Musk's social media platform X with servers optimized for artificial intelligence work, Bloomberg News reported on...",Finnhub,finnhub_news
7,2,2025,1,10,2025-01-10 11:03:19,Uber And Nvidia Vs. Tesla: Who Will Win The Autonomous Race?,"Uber Technologies leverages AI and vast data to compete with Tesla. Find out why UBER stock, with a cheap valuation, warrants a Strong Buy rating.",SeekingAlpha,finnhub_news
8,3,2025,1,10,2025-01-10 10:00:00,CES And AI: What's The 'Next Big Thing' For 2025?,"AI leads at CES 2025, but robotics and autonomous driving are the future. Learn why Tesla and Serve Robotics stocks are key for the next two years.",SeekingAlpha,finnhub_news
9,4,2025,1,10,2025-01-10 09:59:12,"DOGE sends representatives across US government, Washington Post reports","U.S. President-elect Donald Trump's aides with the Department of Government Efficiency have spoken with staffers at more than a dozen federal agencies to begin preliminary interviews, The Washington...",Finnhub,finnhub_news
10,5,2025,1,10,2025-01-10 08:51:35,"VUG: Mag 7, Still Room To Run",The Vanguard Growth Index Fund ETF outperformed the S&P 500 by 11%. See why VUGâs focus on the Mag 7 positions it for long-term gains.,SeekingAlpha,finnhub_news
11,6,2025,1,10,2025-01-10 06:48:36,Tesla debuts major model update in China for first time,Tesla has taken the unprecedented step of debuting a major model update in China as the US electric-car maker counters intense local competition...,Yahoo,finnhub_news
12,7,2025,1,10,2025-01-10 06:35:00,ClearBridge Appreciation Strategy Q4 2024 Commentary,"The Strategy outperformed its benchmark during a volatile quarter, as strong contributions from our financials and energy holdings overcame detractors in consumer staples.",SeekingAlpha,finnhub_news
13,8,2025,1,10,2025-01-10 06:26:55,"Tesla recalls about 239,000 vehicles over rear-view camera issue","Tesla said on Friday it was recalling about 239,000 vehicles over an issue that could cause the rear-view camera to not display an image, increasing the risk of a crash. ...",Finnhub,finnhub_news
14,9,2025,1,10,2025-01-10 02:34:58,Tesla Vs. BYD: New Model Y Launched After Rival Seizes BEV Crown,"Tesla deliveries fell in2024, but the refreshed Model Y is here. BYD's sales continue to surge, seizing the BEV crown in Q4. TSLA stock remains strong.",Yahoo,finnhub_news
15,43,2025,1,10,2025-01-10 00:00:00,Elektroauto: Tesla stellt neues Model Y vor,"Tesla hat ein Facelift des Model Y vorgestellt. Das Design wirkt deutlich moderner und auch der Innenraum wurde aufgewertet. (Tesla, Elektroauto)",Golem.de,api_news_org
16,27,2025,1,10,2025-01-10 00:00:00,El Tesla Model Y Juniper es oficial: su presentación en China nos da un primer adelanto de qué esperamos ver en Europa,"Habíamos llegado a un punto donde lo único que nos quedaba por ver era el nuevo coche sin el poco camuflaje que le quedaba. Aunque se ha hecho esperar y los rumores apuntaban que no cerraríamos el año 2024 sin conocerlo, finalmente ha sido en los primeros día…",Xataka.com,api_news_org
17,79,2025,1,10,2025-01-10 00:00:00,"Tesla dévoile enfin la nouvelle Model Y : voici les nouveautés, photos et autonomie","Tesla vient d'officialiser la nouvelle Model Y restylée, aussi appelée Juniper par les rumeurs. Pour le moment, elle est uniquement commercialisée en Chine, mais voici à quoi le nouveau SUV de Tesla ressemble.",Frandroid,api_news_org
18,6,2025,1,10,2025-01-10 00:00:00,Tesla is launching a refreshed Model Y in China as it takes on local rivals,"Tesla unveiled a long-rumored refresh of the Model Y on Friday, but it is not yet on sale in the US.",Business Insider,api_news_org
19,83,2025,1,10,2025-01-10 00:00:00,La réponse du fondateur de Xiaomi face au nouveau Model Y de Tesla,"Un simple ""Ok"" peut parfois en dire long. C'est par ce message laconique que Lei Jun, PDG de Xiaomi, a répondu au lancement du Tesla Model Y restylé, laissant présager une confrontation électrique intense.",Frandroid,api_news_org
20,85,2025,1,10,2025-01-10 00:00:00,Ce petit détail amusant et bien pratique qui fait son apparition sur le nouveau Tesla Model Y,"Au-delà des quelques changements esthétiques et d’une autonomie sans doute en hausse, Tesla a ajouté plusieurs nouveautés au sein de son SUV électrique phare, à commencer par une fonction plutôt pratique au niveau du coffre avant.",Frandroid,api_news_org
21,34,2025,1,10,2025-01-10 00:00:00,2025 Tesla Model Y SUV,"Tesla's Model Y has received its first major update since its introduction in 2020 — but customers in Europe and the US will have to wait a little longer. Launching in the Aisa-Pacific market, the Model Y keeps a similar...",Uncrate.com,api_news_org
22,69,2025,1,10,2025-01-10 00:00:00,Tesla stellt überarbeitetes Model Y 2025 vor,"Der amerikanische Elektroautohersteller Tesla hat eine überarbeitete Version seines Model Y vorgestellt. Zuerst adressiert man damit den asiatischen Markt, vielleicht wird die Vorstellung auch für andere Bereiche der Welt zeitnah über die Bühne gehen. Die Aus…",Caschys Blog,api_news_org
23,19,2025,1,10,2025-01-10 00:00:00,"Tesla launches new Model Y in China with fresh look, features",,Yahoo Entertainment,api_news_org
24,36,2025,1,10,2025-01-10 00:00:00,Le Tesla Model Y s’offre enfin un coup de jeune,"Après des mois de spéculations, Tesla se décide enfin à donner des nouvelles de son Model Y restylé. Mais qu'est-ce qui change ?",Journal du geek,api_news_org
25,17,2025,1,10,2025-01-10 00:00:00,Tesla finally launches the refreshed 2025 Model Y in the Asia-Pacific region,,Yahoo Entertainment,api_news_org
26,14,2025,1,10,2025-01-10 00:00:00,"Tesla launches redesigned Model Y in China, seeking to fend off rivals","SHANGHAI (Reuters) -Tesla launched a new version of the Model Y, its best-selling car, in China on Friday, hoping that a redesigned exterior and upgraded...",Yahoo Entertainment,api_news_org
27,11,2025,1,10,2025-01-10 00:00:00,Tesla presenta el Model Y Juniper: un diseño rompedor y aún más autonomía,"Se acabó la espera. El esperado rediseño del Tesla Model Y (conocido extraoficialmente como Model Y Juniper) ha visto la luz durante la madrugada de este viernes. Eso sí: de momento, solo está disponible en China, país en el que Tesla tiene una de las fábrica…",Hipertextual,api_news_org
28,10,2025,1,10,2025-01-10 00:00:00,Tesla could be set for a $1 billion windfall in Europe after rivals fail to sell enough EVs,"The EV giant is banding together with major competitors including Ford, Stellantis, and Toyota to help them meet European emissions targets.",Business Insider,api_news_org
29,41,2025,1,10,2025-01-10 00:00:00,Tesla dévoile enfin officiellement le nouveau Model Y restylé de 2025,"Après des mois de spéculations et de fuites, Tesla lève le voile sur son Model Y restylé. Le SUV électrique star de la marque fait peau neuve avec des améliorations significatives tant à l’extérieur qu’à l’intérieur.",Presse-citron,api_news_org
30,10,2025,1,9,2025-01-09 21:28:20,"Tesla announces revamped Model Y version in China, priced from $35,938","Tesla on Friday launched a revamped version of its Model Y car in China, its best selling yet aging model, with a starting price of 263,500 yuan . The revamped version includes a Model...",Finnhub,finnhub_news
31,11,2025,1,9,2025-01-09 21:09:29,"Musk asks state AGs to auction off OpenAI stake in nonprofit restructuring, sources say",A lawyer for billionaire Elon Musk has asked attorney generals in the states of California and Delaware to push OpenAI to auction a major stake in its business to decide fair value of its charitable...,Finnhub,finnhub_news
32,12,2025,1,9,2025-01-09 19:24:07,Canada's tariffs on Chinese-made EVs pose quandary for next prime minister,"Policymakers are wondering whether Trump will keep U.S. tariffs on Chinese-made EVs, and how this will affect Canada's trade policy",Yahoo,finnhub_news
33,13,2025,1,9,2025-01-09 19:09:08,"Tesla, Inc. (TSLA) Downgraded to Neutral by Bank of America Amid Execution Risks, Price Target Raised to $490","We recently compiled a list of the 10 Buzzing AI Stocks on Latest News and Ratings. In this article, we are going to take a look at where Tesla, Inc. (NASDAQ:TSLA) stands against the other AI stocks. Artificial intelligence startups are playing a big role in US venture capital funding. As per PitchBook data reported by […]",Yahoo,finnhub_news
34,14,2025,1,9,2025-01-09 18:25:41,Why Dogecoin Is Falling Today,"Dogecoin (CRYPTO: DOGE) is falling in Thursday's trading.  The cryptocurrency's token price was down 3.9% over the previous 24 hours, as of 10:15 a.m. ET.  Dogecoin is losing ground today in conjunction with rising macroeconomic risk indicators.",Yahoo,finnhub_news
35,15,2025,1,9,2025-01-09 17:16:06,Tesla: Reality Check On Robotaxi Hype,"Analysis of Tesla, Inc.'s stock surge and issues, including regulatory changes, falling profitability, demand issues, and robotaxi delays. Click for more on TSLA.",SeekingAlpha,finnhub_news
36,16,2025,1,9,2025-01-09 17:06:09,Tesla targets mass production of humanoid robots Optimus in 2025,"Investing.com -- Tesla (NASDAQ:TSLA) Inc. plans to produce several thousand Optimus humanoid robots in 2025 and aims to significantly ramp up production in the following years, CEO Elon Musk has said.",Yahoo,finnhub_news
37,17,2025,1,9,2025-01-09 16:58:18,Tesla board will return more than $900M in shareholder settlement,A Delaware court approved the deal to settle a complaint accusing the automaker’s directors of overpaying themselves for several years.,Yahoo,finnhub_news
38,18,2025,1,9,2025-01-09 16:49:40,"Tesla Faces 40% Profit Threat from Policy Changes, Analysts Warn",Tesla Analysts Split: Q4 Miss Triggers Downgrade but Higher Price Targets,Yahoo,finnhub_news
39,19,2025,1,9,2025-01-09 16:22:00,Can DOGE Really Slash $2 Trillion? Even Elon Musk Says This Number Is More Likely.,The Tesla CEO floats other numbers for how much the Department of Government Efficiency can cut from the federal deficit.,Yahoo,finnhub_news
40,20,2025,1,9,2025-01-09 16:08:48,Revealing My Full Portfolio - FF Portfolio Q1/2025,"I aim to provide transparency by sharing quarterly updates on my portfolio, evaluating my strategy, and sparking new investment ideas. Click here to read more.",SeekingAlpha,finnhub_news
41,21,2025,1,9,2025-01-09 15:37:00,Tesla’s Robot Business Is Closer Than You Think,"Tesla  is using artificial intelligence to build self-driving cars and humanoid robots.  Wednesday evening, CEO Elon Musk gave a video interview at the Consumer Electronics Show in Las Vegas.  “I don’t want to blow your minds, but AI is going to be big,” Musk told  Stagwell  CEO Mark Penn. “AI will do anything you want and even suggest things you never thought of.”",Yahoo,finnhub_news
42,23,2025,1,9,2025-01-09 15:00:00,"Mercedes gains access to Tesla Superchargers in February, vastly expanding charging options","Tesla’s fast-charging network will offer more than 21,000 Superchargers to Mercedes-Benz owners, who will need to buy a $185 adapter.",Yahoo,finnhub_news
43,24,2025,1,9,2025-01-09 14:58:00,Beyond Tesla: Top Car Stocks to Watch in 2025,"Automotive investors are a gloomy bunch, and there is good reason for that. Still, some car stocks look poised to have an impressive 2025.",Yahoo,finnhub_news
44,25,2025,1,9,2025-01-09 14:37:25,URAN And WISE: Nuclear Energy Correlates With AI Hype As President Trump Promises Nuclear Reforms,"Rising data center power demands, driven by AI adoption, highlight the increasing importance of nuclear energy for efficient power supply.",SeekingAlpha,finnhub_news
45,22,2025,1,9,2025-01-09 14:31:00,Micron and 7 Other Tech Stocks for Another AI-Driven Year,"Artificial intelligence is once again leading the market.  New Street Research has tech picks to start 2025.  Pierre Ferragu’s four picks for 2025 are Micron, Infineon, Nvidia, and Taiwan Semiconductor Manufacturing, with his current price targets implying upside of 42%, 47%, 43%, and 31%, respectively.",Yahoo,finnhub_news
46,26,2025,1,9,2025-01-09 14:22:00,A Look Back at the US EV Market in 2024: What to Expect in 2025,"U.S. EV sales surge to 1.3 million units in 2024, but with tax credits at risk, will 2025 sustain the momentum?",Yahoo,finnhub_news
47,27,2025,1,9,2025-01-09 13:02:44,Elon Musk says DOGE’s $2 trillion target for federal spending cuts was just a best-case scenario,"Elon Musk initially pledged to cut some $2 trillion from the federal budget, alongside his DOGE partner, politician Vivek Ramaswamy.",Yahoo,finnhub_news
48,28,2025,1,9,2025-01-09 13:00:00,Self-Driving Cars Don’t Do Snow. Goodyear Says the Solution Is Smarter Tires.,"Autonomous vehicles are gaining popularity in drier climates, but struggle with knowing when to brake in snowy, icy conditions",Yahoo,finnhub_news
49,29,2025,1,9,2025-01-09 12:40:26,"Stocks are priced for 'perfection' and more vulnerable to a correction, Goldman warns",How long can the markets withstand higher bond yields and other risks? Goldman Sachs warns maybe not much longer.,Yahoo,finnhub_news
50,30,2025,1,9,2025-01-09 12:08:00,"China Makes More Cars Than It Needs. Now, It’s Shakeout Time.",An “elimination round” is likely to cull weaker players in a market dominated by EVs and plug-in hybrids. Among the early losers are foreign brands.,Yahoo,finnhub_news
51,31,2025,1,9,2025-01-09 12:00:24,Elon Musk's Trump windfall,"Musk's Tesla stake rose by $111 billion — 65% — last year. All but $2 billion of Musk’s Tesla gain and about 98% of what other Tesla shareholders gained came after Election Day, when Musk began hanging out extensively with Donald Trump and started calling himself Trump’s “first buddy.”",Yahoo,finnhub_news
52,32,2025,1,9,2025-01-09 08:56:25,Tesla Stock: Take Your Profit And Run,"Tesla's robotaxis and AI push are appealing, but expectations may be inflated. Learn why TSLA stock could face challenges with overestimated future sales.",SeekingAlpha,finnhub_news
53,33,2025,1,9,2025-01-09 08:45:10,"Musk to host German far-right leader on X, stirs angst about election meddling","Elon Musk will host the leader of the far-right Alternative for Germany on X on Thursday, stoking concerns in Berlin and Brussels about possible meddling by the U.S. billionaire in campaigning for...",Finnhub,finnhub_news
54,34,2025,1,9,2025-01-09 07:34:00,CO2 Targets Are The Key Question For European Car Makers At The Start Of 2025,The most important question for European car markets at the start of the year is whether the ambitious EU CO2 targets for 2025 will remain in place. Click to read.,SeekingAlpha,finnhub_news
55,35,2025,1,9,2025-01-09 06:56:00,Musk Says DOGE’s Goal to Cut $2 Trillion in Spending Is ‘Best-Case Outcome’,The billionaire CEO of Tesla says there is a good shot of cutting at least $1 trillion from federal government expenditures.,Yahoo,finnhub_news
56,36,2025,1,9,2025-01-09 04:49:16,"Chinese Auto Sales Rose in December on Subsidies, Promotions","By Jiahui Huang China's vehicle sales rose sharply in December, helped by government subsidies and year-end promotions as companies raced to hit annual sales targets in the world's largest auto...",Finnhub,finnhub_news
57,37,2025,1,9,2025-01-09 02:21:09,BE GONE ELON,"Jess Phillips has said she has more important thinks to be thinking about after Elon Musk accused her of being a rape genocide apologist. The safeguarding minister, who has been attacked for rejecting...",Finnhub,finnhub_news
58,54,2025,1,9,2025-01-09 00:00:00,"Elon Musk: ""Dann keinen Tesla kaufen""","Es sei beunruhigend, dass Elon Musk rechte Politiker unterstütze, sagt der Politologe Thorsten Benner. Doch Empörung allein helfe jetzt nicht – sondern Pragmatik.",Die Zeit,api_news_org
59,44,2025,1,9,2025-01-09 00:00:00,"Elektroautostatistik 2024 ausgewertet: Opel bricht ein, BMW überholt Tesla","Trotz stark gesunkener Verkaufszahlen im Jahr 2024 bei Elektroautos haben nicht alle Hersteller gleich schlecht abgeschnitten. Das Preis-Leistungs-Verhältnis entscheidet. Ein Bericht von Friedhelm Greis (Elektroauto, Tesla)",Golem.de,api_news_org
60,12,2025,1,9,2025-01-09 00:00:00,Así es el nuevo Tesla Model Y Juniper: su diseño final se ha filtrado al completo,"Se acabaron los secretos. El Tesla Model Y Juniper se ha filtrado en imágenes reales que lo muestran sin lonas o pinturas con patrones de camuflaje. El vehículo eléctrico más esperado 2025 todavía no es oficial, pero ya podemos conocer su diseño final junto a…",Hipertextual,api_news_org
61,80,2025,1,9,2025-01-09 00:00:00,"Réparation de Tesla, future Livebox et smartphone Samsung pliable en trois – Tech’spresso","Vous n’avez pas eu le temps de suivre l’actualité hier ? Voici ce qui a marqué le mercredi 8 janvier : Tesla plus simple à réparer, une future Livebox en approche et Samsung prépare un smartphone pliable en trois. Pour ne manquer aucune actualité, pensez à vo…",Frandroid,api_news_org
62,50,2025,1,9,2025-01-09 00:00:00,Zaha Hadid Architects Reimagines Old Belgrade Factory for Nikola Tesla Museum,A collaborative design between Zaha Hadid Architects and Bureau Cube Partners has won the competition for the new Nikola Tesla Museum to be built in Belgrade Serbia. The design will renovate the former Milan Vapa Paper Mill with awe-enducing architectural fea…,HYPEBEAST,api_news_org
63,78,2025,1,9,2025-01-09 00:00:00,Une réponse au Tesla Model Y ? Xpeng dévoile le joli design de sa nouvelle voiture électrique,"Xpeng, une prometteuse marque chinoise de voiture électrique disponible en France, vient de dévoiler par surprise les premières images de son prochain modèle. Voici ce qu'il faut savoir sur cet Xpeng G7.",Frandroid,api_news_org
64,73,2025,1,9,2025-01-09 00:00:00,Tesla Model Y Juniper : le SUV électrique à visage découvert sur la glace,"Après des mois de spéculations et d'aperçus furtifs sous camouflage, le nouveau Tesla Model Y Juniper s'est enfin montré à visage découvert. L'élément le",Frandroid,api_news_org
65,26,2025,1,9,2025-01-09 00:00:00,"Los mayores aliados de Tesla en 2025 serán Stellantis y Toyota. Ante multas históricas, hay 1.000 millones de euros en juego","Por primera vez en su historia, Tesla despachó menos coches al final todo un año que en el ejercicio anual anterior. Pese a meter un coche más en su catálogo (Cybertruck) y hacer todo lo posible por entregar vehículos en el último trimestre del año (lo que pu…",Xataka.com,api_news_org
66,45,2025,1,9,2025-01-09 00:00:00,Musk legt Berufung im Tesla-Konflikt ein: Streit um 56-Milliarden-US-Dollar-Aktienpaket geht weiter,"Es geht in dem Rechtsstreit um Tesla-Aktien, die derzeit rund 100 Milliarden US-Dollar wert sind. Ursprünglich sollte Elon Musk 2,6 Milliarden US-Dollar bekommen. (Elon Musk, Rechtsstreitigkeiten)",Golem.de,api_news_org
67,59,2025,1,9,2025-01-09 00:00:00,Neuzulassungen: E-Automarkt 2024: Die großen Verlierer heißen Tesla und Opel,Hier finden Sie Informationen zu dem Thema „Neuzulassungen“. Lesen Sie jetzt „E-Automarkt 2024: Die großen Verlierer heißen Tesla und Opel“.,Die Zeit,api_news_org
68,49,2025,1,9,2025-01-09 00:00:00,Our First Look At The Refreshed Tesla Model Y Without Camouflage,"The Tesla Model Y has been on sale since 2020, which means it is high time for a replacement. With the refreshed Model 3 showing up in 2024, we knew a facelifted Model Y wouldn’t be too far down the pipeline. Now, we’re finally getting a look at what the upda…",Jalopnik,api_news_org
69,38,2025,1,8,2025-01-08 23:57:00,The Best Car Stocks for 2025. Tesla Isn’t the Only One.,"Automotive investors are a gloomy bunch, and there is good reason for that. Still, some car stocks look poised to have an impressive 2025.",Yahoo,finnhub_news
