,index,year,month,day,publishedAt,headline,summary,source,url,API
0,0,2025,3,22,2025-03-22 23:48:53,Is Tesla (TSLA) Widely Held by Individuals in 2025?,"We recently compiled a list of the 12 Most Widely Held Stocks by Individuals in 2025. In this article, we are going to take a look at where Tesla, Inc. (NASDAQ:TSLA) stands against the other stocks widely held by individuals in 2025. Individual investors, often called retail investors, typically invest their personal capital directly into […]",Yahoo,https://finnhub.io/api/news?id=a968b590896e60cbb864070e8b89d0c218b0a8270d7e917db7818e612c54afaf,finnhub_news
1,1,2025,3,22,2025-03-22 22:00:00,Tesla investors at a loss as Elon Musk drags down stock price: ‘This time it feels different’,"Tesla finds itself in uncharted territory, now that it appears to have lost its aura of infallibility, leaving punters in the dark about its outlook.",Yahoo,https://finnhub.io/api/news?id=109c2d5c15643e5e3bf9bee358aa3592ed4c6032cee0d07e0460734295f6815e,finnhub_news
2,2,2025,3,22,2025-03-22 21:50:45,X Suspends Accounts in Turkey After Government Removal Requests,X has once again implemented restrictions at the behest of the Turkish government.,Yahoo,https://finnhub.io/api/news?id=82b7bdf5b9b152e3068f5b10f06d2a6c5a21943759087c78d860f1baeb83df4b,finnhub_news
3,3,2025,3,22,2025-03-22 21:44:16,Elon Musk Quotes Warren Buffett Metaphor On Stocks: Like Someone Standing And Yelling 'Prices To Buy Or Sell Your House Every Day...',"Tesla Inc. (NASDAQ:TSLA) CEO Elon Musk invoked Berkshire Hathaway Inc. CEO Warren Buffett‘s investment philosophy during an all-hands meeting on Thursday night, advising employees and investors to focus on companies with promising product ...",Yahoo,https://finnhub.io/api/news?id=31ba5d532d9e4c35f34c2b22db4aa698a5f671b29b0630bbe752a2fbf2c943d5,finnhub_news
4,4,2025,3,22,2025-03-22 19:11:58,Tesla Vs. BYD: TSLA Stock Tries To Halt Slide Amid Brand 'Destruction'; Earnings Due For Fast-Charging BYD,"Tesla has sold off as Elon Musk spurs brand ""destruction"" but is trying to steady. BYD earnings are due with the stock near highs.",Yahoo,https://finnhub.io/api/news?id=dd8f492a6360c4c3fc9a4b47d149b0e2bb84a92cc2f3afb49b1605156e15e64f,finnhub_news
5,5,2025,3,22,2025-03-22 18:41:22,Tesla (TSLA) Faces AI & EV Market Challenges as Analyst Lowers Price Target,"We recently published a list of 10 High-Flying AI Stocks to Watch Today. In this article, we are going to take a look at where Tesla, Inc. (NASDAQ:TSLA) stands against other high-flying AI stocks to watch today. The most important conference in the tech world is in full swing, yet investors are skeptical about what’s […]",Yahoo,https://finnhub.io/api/news?id=3302db058cb20d052331b3c5ac311281d3a9888447d5421b1e42202066603bb9,finnhub_news
6,6,2025,3,22,2025-03-22 18:14:28,Anti-Musk protesters gather outside Tesla dealership in Washington,"Roughly 100 peoplewaved signs and danced in protest outside a Tesla dealership inWashington on Saturday, angry at the electric vehicle maker'sbillionaire CEO Elon Musk, who has led efforts to...",Finnhub,https://finnhub.io/api/news?id=2263579dbf0027bb8f2998b818f6c8c491a0029ca5d28de72cb268aa3610c48a,finnhub_news
7,7,2025,3,22,2025-03-22 15:10:13,Trump Trade: Loss of $10B JEDI contract ‘watershed’ moment for Bezos,"Catch up on the top industries and stocks that were impacted, or were predicted to be impacted, by the comments, actions and policies of President Donald Trump with this daily recap compiled by The Fly: WATERSHED MOMENT: Sources detail how former Amazon (AMZN) CEO Jeff Bezos made peace with President Donald Trump, with many pointing to Amazon losing the $10B JEDI contract during Trump’s first term as a watershed moment, The Financial Times’ Anna Nicolaou, Stephen Morris, Rafe Uddin, and Alex Rog",Yahoo,https://finnhub.io/api/news?id=8e9af2f58bad975cc125464cff3fa5e62183748bb64005938d82dd1c61addb04,finnhub_news
8,8,2025,3,22,2025-03-22 15:05:00,"Tesla: Buy, Sell, or Hold?","Shares of Tesla (NASDAQ: TSLA) had a phenomenal run in the last several weeks of 2024, virtually doubling in about two months' time.  Continue reading to find out if Tesla stock is a buy, sell, or hold right now.  Adding fuel to Tesla's stock dip was the company's fourth-quarter financial update.",Yahoo,https://finnhub.io/api/news?id=4be84f23f1cd150af1441a541cffcba1636a176341541a7616d986997ca4a5aa,finnhub_news
9,9,2025,3,22,2025-03-22 15:00:50,This week in Trumponomics: Shilling for Tesla,Donald Trump and his advisers are now Tesla promoters. It reeks of desperation.,Yahoo,https://finnhub.io/api/news?id=ac695adcf028c56ac3b515f69a51e42985a3cf90b982d868233249550c304c80,finnhub_news
10,10,2025,3,22,2025-03-22 14:30:00,Is Tesla facing a brand crisis when Elon Musk 'is the brand'?,"Earlier this week, Wedbush managing director and senior equity analyst Dan Ives warned that Tesla (TSLA) CEO Elon Musk ""needs to change course"" and reassess his commitments to the EV maker over his position as the head of the Department of Government Efficiency (DOGE) in the Trump administration. Ives sits down with the Market Domination team to react to speak more about Tesla's branding, commenting on Musk's own proximity to President Trump. After President Trump's endorsement of Tesla on the White House lawn last week, US Secretary of Commerce Howard Lutnick urged viewers to purchase Tesla stock in a recent interview with Fox News. Also catch Dan Ives explain why Elon Musk is taking a ""huge step forward"" in rebalancing his responsibilities at Tesla, demonstrated in his all-hands meeting on Thursday where he implored Tesla employees to ""hang onto"" and hold off on selling their stock. To watch more expert insights and analysis on the latest market action, check out more Market Domination here.",Yahoo,https://finnhub.io/api/news?id=d2cb8b12db6851b43dca7a5118e5698c807871b220e7757b632ec9b4474b52b7,finnhub_news
11,11,2025,3,22,2025-03-22 14:00:00,"Costco follows Walmart, a weight loss drug panic, and an airline's hotel fail: Business news roundup",Costco is reportedly demanding price cuts from its Chinese suppliers as U.S. tariffs continue to take a toll.,Yahoo,https://finnhub.io/api/news?id=bfe1405b91372ac6b118921e2b89e69f2eb7b996b22a75a205b3ce382a174f17,finnhub_news
12,12,2025,3,22,2025-03-22 13:33:00,Tesla stock mega bull gives Elon Musk an ultimatum,This analyst is raising concerns about a stock he has championed for years.,Yahoo,https://finnhub.io/api/news?id=829506df8fe3fdc0fd4ae37c7eba588ff1c5136eb7a2cb6c4552f1bcd581da95,finnhub_news
13,13,2025,3,22,2025-03-22 11:37:04,Nova Scotia legislators vote unanimously to scrap electric car rebates for Tesla,HALIFAX - Nova Scotia has become the latest province to scrap electrical vehicle rebates for Teslas due to the CEO's association with the U.S. administration and its trade war on Canada. The...,Finnhub,https://finnhub.io/api/news?id=1d6343236af54cc7ddd498ad7edce1b9d09b802977fc2325bdc67ac583af7095,finnhub_news
14,14,2025,3,22,2025-03-22 10:00:00,Musk Political Group Takes on Local Races and New Targets,His America PAC has spent big in Wisconsin and is exploring Nevada. and he has business interests in both states.,Yahoo,https://finnhub.io/api/news?id=9e3fdfd47af0e5aa53ca44903ae286a47791766385c330c028c01af75a14a52b,finnhub_news
15,15,2025,3,22,2025-03-22 09:15:33,"VUG: Mag 7 Now The Lag 7, Better Valuation, Weaker Chart","US large-cap growth stocks, particularly the Russell 1000 Growth Index, are in correction territory, with the Lag 7 stocks all down year-to-date.",SeekingAlpha,https://finnhub.io/api/news?id=9630443a249875083c6b75989594e66addfd14a9fdf30190765424de3deb9337,finnhub_news
16,16,2025,3,22,2025-03-22 07:46:08,What Moved Markets This Week,The U.S. stocks snapped a four-week losing streak on Friday as the S&P 500 barely moved into positive territory. Read more about this week's major events on Wall Street.,SeekingAlpha,https://finnhub.io/api/news?id=d5615eca363cc981a2aab1345ca4476f3b779e2451e0f52a8c7f33be31631712,finnhub_news
