;filename;txt_open;txt_hight;txt_low;Fait
0;anf_data_2025_07_09.json;",""Open"":{""1255"":86.93000030517578},";",""High"":{""1255"":87.81999969482422},";",""Low"":{""1255"":85.88999938964844},";oui
1;anf_data_2025_07_10.json;",""Open"":{""1255"":85.66000366210938},";",""High"":{""1255"":89.55000305175781},";",""Low"":{""1255"":85.2699966430664},";
2;anf_data_2025_07_11.json;",""Open"":{""1255"":87.9800033569336},";",""High"":{""1255"":89.80000305175781},";",""Low"":{""1255"":86.63999938964844},";
3;anf_data_2025_07_14.json;",""Open"":{""1255"":89.80000305175781},";",""High"":{""1255"":92.97000122070312},";",""Low"":{""1255"":89.58999633789062},";
4;anf_data_2025_07_15.json;",""Open"":{""1255"":92.5},";",""High"":{""1255"":93.1500015258789},";",""Low"":{""1255"":88.2300033569336},";
5;anf_data_2025_07_16.json;",""Open"":{""1255"":89.5},";",""High"":{""1255"":91.87000274658203},";",""Low"":{""1255"":87.33999633789062},";
6;anf_data_2025_07_17.json;",""Open"":{""1255"":90.27999877929688},";",""High"":{""1255"":93.62000274658203},";",""Low"":{""1255"":90.2300033569336},";
7;anf_data_2025_07_18.json;",""Open"":{""1255"":94.70999908447266},";",""High"":{""1255"":96.4800033569336},";",""Low"":{""1255"":93.47000122070312},";
8;anf_data_2025_07_21.json;",""Open"":{""1255"":94.61000061035156},";",""High"":{""1255"":96.4000015258789},";",""Low"":{""1255"":93.98999786376953},";
9;anf_data_2025_07_22.json;",""Open"":{""1255"":95.81999969482422},";",""High"":{""1255"":97.0},";",""Low"":{""1255"":94.0},";
10;anf_data_2025_07_23.json;",""Open"":{""1255"":97.19000244140625},";",""High"":{""1255"":97.26000213623047},";",""Low"":{""1255"":93.66000366210938},";
11;anf_data_2025_07_24.json;",""Open"":{""1255"":95.12999725341797},";",""High"":{""1255"":95.68000030517578},";",""Low"":{""1255"":93.5},";
12;anf_data_2025_07_25.json;",""Open"":{""1255"":94.30999755859375},";",""High"":{""1255"":95.13999938964844},";",""Low"":{""1255"":90.69000244140625},";
13;msft_data_2025_07_09.json;",""Open"":{""1255"":500.29998779296875},";",""High"":{""1255"":506.7799987792969},";",""Low"":{""1255"":499.739990234375},";
14;msft_data_2025_07_10.json;",""Open"":{""1255"":503.04998779296875},";",""High"":{""1255"":504.44000244140625},";",""Low"":{""1255"":497.75},";
15;msft_data_2025_07_11.json;",""Open"":{""1255"":498.4700012207031},";",""High"":{""1255"":505.0299987792969},";",""Low"":{""1255"":497.79998779296875},";
16;msft_data_2025_07_14.json;",""Open"":{""1255"":501.5199890136719},";",""High"":{""1255"":503.9700012207031},";",""Low"":{""1255"":501.0299987792969},";
17;msft_data_2025_07_15.json;",""Open"":{""1255"":503.0199890136719},";",""High"":{""1255"":508.29998779296875},";",""Low"":{""1255"":502.7900085449219},";
18;msft_data_2025_07_16.json;",""Open"":{""1255"":505.17999267578125},";",""High"":{""1255"":506.7200012207031},";",""Low"":{""1255"":501.8900146484375},";
19;msft_data_2025_07_17.json;",""Open"":{""1255"":505.67999267578125},";",""High"":{""1255"":513.3699951171875},";",""Low"":{""1255"":505.6199951171875},";
20;msft_data_2025_07_18.json;",""Open"":{""1255"":514.47998046875},";",""High"":{""1255"":514.6400146484375},";",""Low"":{""1255"":507.42999267578125},";
21;msft_data_2025_07_21.json;",""Open"":{""1255"":506.7099914550781},";",""High"":{""1255"":512.0900268554688},";",""Low"":{""1255"":505.54998779296875},";
22;msft_data_2025_07_22.json;",""Open"":{""1255"":510.9700012207031},";",""High"":{""1255"":511.20001220703125},";",""Low"":{""1255"":505.2699890136719},";
23;msft_data_2025_07_23.json;",""Open"":{""1255"":506.75},";",""High"":{""1255"":506.7900085449219},";",""Low"":{""1255"":500.70001220703125},";
24;msft_data_2025_07_24.json;",""Open"":{""1255"":508.7699890136719},";",""High"":{""1255"":513.6699829101562},";",""Low"":{""1255"":507.29998779296875},";
25;msft_data_2025_07_25.json;",""Open"":{""1255"":512.469970703125},";",""High"":{""1255"":518.2899780273438},";",""Low"":{""1255"":510.3599853515625},";
26;pfe_data_2025_07_09.json;",""Open"":{""1255"":25.25423406671009},";",""High"":{""1255"":25.401689317684447},";",""Low"":{""1255"":24.91017056443977},";
27;pfe_data_2025_07_10.json;",""Open"":{""1255"":25.146098436077132},";",""High"":{""1255"":25.608125372502094},";",""Low"":{""1255"":25.106777912230093},";
28;pfe_data_2025_07_11.json;",""Open"":{""1255"":25.21491050720215},";",""High"":{""1255"":25.28372282949353},";",""Low"":{""1255"":24.988812341103277},";
29;pfe_data_2025_07_14.json;",""Open"":{""1255"":25.14609824291435},";",""High"":{""1255"":25.19524936609438},";",""Low"":{""1255"":24.910169476658904},";
30;pfe_data_2025_07_15.json;",""Open"":{""1255"":24.91016946458177},";",""High"":{""1255"":25.008473585889334},";",""Low"":{""1255"":24.1139096444813},";
31;pfe_data_2025_07_16.json;",""Open"":{""1255"":24.261364888945067},";",""High"":{""1255"":24.536614178612055},";",""Low"":{""1255"":24.1139096444813},";
32;pfe_data_2025_07_17.json;",""Open"":{""1255"":24.074587618919864},";",""High"":{""1255"":24.359669387628728},";",""Low"":{""1255"":24.03526709478479},";
33;pfe_data_2025_07_18.json;",""Open"":{""1255"":24.290854683463564},";",""High"":{""1255"":24.359668880508956},";",""Low"":{""1255"":23.976282996950946},";
34;pfe_data_2025_07_21.json;",""Open"":{""1255"":24.172892058446568},";",""High"":{""1255"":24.231873782919514},";",""Low"":{""1255"":23.84848976135254},";
35;pfe_data_2025_07_22.json;",""Open"":{""1255"":23.95662456595051},";",""High"":{""1255"":24.71356201171875},";",""Low"":{""1255"":23.927132766117243},";
36;pfe_data_2025_07_23.json;",""Open"":{""1255"":24.949489875323977},";",""High"":{""1255"":25.096946994116326},";",""Low"":{""1255"":24.821695830698445},";
37;pfe_data_2025_07_24.json;",""Open"":{""1255"":24.959320599838936},";",""High"":{""1255"":25.106777719369354},";",""Low"":{""1255"":24.831526554573756},";
38;pfe_data_2025_07_25.json;",""Open"":{""1255"":24.969999313354492},";",""High"":{""1255"":24.969999313354492},";",""Low"":{""1255"":24.6200008392334},";
39;sbux_data_2025_07_09.json;",""Open"":{""1255"":96.91057532605424},";",""High"":{""1255"":97.24834303167133},";",""Low"":{""1255"":94.03951951076968},";
40;sbux_data_2025_07_10.json;",""Open"":{""1255"":94.25807172132126},";",""High"":{""1255"":95.11243514414458},";",""Low"":{""1255"":92.93679545152764},";
41;sbux_data_2025_07_11.json;",""Open"":{""1255"":93.75141695422468},";",""High"":{""1255"":94.69518676886655},";",""Low"":{""1255"":93.52292124595753},";
42;sbux_data_2025_07_14.json;",""Open"":{""1255"":93.06593792572795},";",""High"":{""1255"":93.3441013429828},";",""Low"":{""1255"":91.66517668677149},";
43;sbux_data_2025_07_15.json;",""Open"":{""1255"":93.00633666686808},";",""High"":{""1255"":93.68187966474586},";",""Low"":{""1255"":91.54597109944224},";
44;sbux_data_2025_07_16.json;",""Open"":{""1255"":92.05262851346005},";",""High"":{""1255"":92.66855963742954},";",""Low"":{""1255"":90.95983281728559},";
45;sbux_data_2025_07_17.json;",""Open"":{""1255"":90.13527340681028},";",""High"":{""1255"":92.67849032874574},";",""Low"":{""1255"":89.97631855949717},";
46;sbux_data_2025_07_18.json;",""Open"":{""1255"":93.42357483990213},";",""High"":{""1255"":93.84081994822927},";",""Low"":{""1255"":92.63875232887668},";
47;sbux_data_2025_07_21.json;",""Open"":{""1255"":93.68187693810582},";",""High"":{""1255"":94.66538547512825},";",""Low"":{""1255"":92.002952276205},";
48;sbux_data_2025_07_22.json;",""Open"":{""1255"":92.34072154427716},";",""High"":{""1255"":96.52313219977421},";",""Low"":{""1255"":92.24137854743111},";
49;sbux_data_2025_07_23.json;",""Open"":{""1255"":96.71187893185846},";",""High"":{""1255"":97.53644018359306},";",""Low"":{""1255"":94.91374572695439},";
50;sbux_data_2025_07_24.json;",""Open"":{""1255"":94.8740043314118},";",""High"":{""1255"":94.9534817561867},";",""Low"":{""1255"":92.80763676357067},";
51;sbux_data_2025_07_25.json;",""Open"":{""1255"":92.78777573815462},";",""High"":{""1255"":93.86069828697207},";",""Low"":{""1255"":91.70491661590792},";
52;tsla_data_2025_07_09.json;",""Open"":{""1255"":297.54998779296875},";",""High"":{""1255"":300.1499938964844},";",""Low"":{""1255"":293.54998779296875},";
53;tsla_data_2025_07_10.json;",""Open"":{""1255"":300.04998779296875},";",""High"":{""1255"":310.4800109863281},";",""Low"":{""1255"":300.0},";
54;tsla_data_2025_07_11.json;",""Open"":{""1255"":307.8900146484375},";",""High"":{""1255"":314.0899963378906},";",""Low"":{""1255"":305.6499938964844},";
55;tsla_data_2025_07_14.json;",""Open"":{""1255"":317.7300109863281},";",""High"":{""1255"":322.6000061035156},";",""Low"":{""1255"":312.6700134277344},";
56;tsla_data_2025_07_15.json;",""Open"":{""1255"":319.67999267578125},";",""High"":{""1255"":321.20001220703125},";",""Low"":{""1255"":310.5},";
57;tsla_data_2025_07_16.json;",""Open"":{""1255"":312.79998779296875},";",""High"":{""1255"":323.5},";",""Low"":{""1255"":312.6199951171875},";
58;tsla_data_2025_07_17.json;",""Open"":{""1255"":323.1499938964844},";",""High"":{""1255"":324.3399963378906},";",""Low"":{""1255"":317.05999755859375},";
59;tsla_data_2025_07_18.json;",""Open"":{""1255"":321.6600036621094},";",""High"":{""1255"":330.8999938964844},";",""Low"":{""1255"":321.4200134277344},";
60;tsla_data_2025_07_21.json;",""Open"":{""1255"":334.3999938964844},";",""High"":{""1255"":338.0},";",""Low"":{""1255"":326.8800048828125},";
61;tsla_data_2025_07_22.json;",""Open"":{""1255"":329.739990234375},";",""High"":{""1255"":335.4100036621094},";",""Low"":{""1255"":321.54998779296875},";
62;tsla_data_2025_07_23.json;",""Open"":{""1255"":330.8999938964844},";",""High"":{""1255"":336.20001220703125},";",""Low"":{""1255"":328.6700134277344},";
63;tsla_data_2025_07_24.json;",""Open"":{""1255"":310.0},";",""High"":{""1255"":310.1499938964844},";",""Low"":{""1255"":300.4100036621094},";
64;tsla_data_2025_07_25.json;",""Open"":{""1255"":308.739990234375},";",""High"":{""1255"":323.6300048828125},";",""Low"":{""1255"":308.010009765625},";
65;wmt_data_2025_07_09.json;",""Open"":{""1255"":96.92362331365887},";",""High"":{""1255"":97.06329647776903},";",""Low"":{""1255"":96.15541329943636},";
66;wmt_data_2025_07_10.json;",""Open"":{""1255"":96.43477055168755},";",""High"":{""1255"":96.55448606125603},";",""Low"":{""1255"":94.51923867080689},";
67;wmt_data_2025_07_11.json;",""Open"":{""1255"":94.78861001084915},";",""High"":{""1255"":95.30739495873178},";",""Low"":{""1255"":94.01042878321695},";
68;wmt_data_2025_07_14.json;",""Open"":{""1255"":94.28977875280574},";",""High"":{""1255"":95.61667385578423},";",""Low"":{""1255"":94.16007680211162},";
69;wmt_data_2025_07_15.json;",""Open"":{""1255"":95.37723436057732},";",""High"":{""1255"":95.55681523469599},";",""Low"":{""1255"":94.71877622988671},";
